IdTerminal;NombreTerminal;IdPais
1;Montevideo;1
2;San Pablo;2
3;Buenos Aires;3
4;Rio;2
5;Asuncion;4
6;Santiago de chile;7
7;Moscu;6
8;Leningrado;6
10;LYON;250
11;MARSELLA;250
12;BERLIN;276
13;MUNICH;276
14;BOMBAY;356
15;CALCUTA;356
16;JAIPUR;356
17;FLORENCIA;380
18;MILAN;380
19;NAPOLES;380
20;ROMA;380
21;AUKLAND;554
22;WELLINGTON;554
23;QUEENSTOWN;554
24;ROTORUA;554
25;OSLO;578
26;BERGEN;578
27;TROMSO;578
28;ESTOCOLMO;752
29;GOTEMBURGO;752
30;UPSALA;752
31;ZURICH;756
32;LUZERNA;756
33;GINEGRA;756
34;ESTAMBUL;792
35;CAPADOCIA;792
36;ANTALYA;792
37;ATENAS;300
38;SANTORINI;300
39;MYCONOS;300
40;SIEMREAP;116
